Source Audio,Part,DÃ©but (sec),DÃ©but (min:sec),Distance,Status,Exploration,Validation_Humaine,Comments,,TP,FP,FN,TN
ml17_280a_0011_part5.wav,5,25,0:25,0.3039,RAS,FALSE,FALSE,,,,,,
ml17_280a_0011_part57.wav,57,285,4:45,0.1802,RAS,FALSE,FALSE,,,,,,
ml17_280a_0014_part48.wav,48,240,4:00,0.2716,RAS,TRUE,TRUE,Cachalot,,Precision,Recall,,F1-score
ml17_280a_0014_part56.wav,56,280,4:40,0.3899,ANOMALIE,TRUE,TRUE,Potentiel cachalot,,,,,
ml17_280a_0019_part17.wav,17,85,1:25,0.2575,RAS,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0019_part5.wav,5,25,0:25,0.1987,RAS,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0021_part40.wav,40,200,3:20,0.2193,RAS,FALSE,FALSE,,,,,,
ml17_280a_0025_part17.wav,17,85,1:25,0.2223,RAS,FALSE,FALSE,,,,,,
ml17_280a_0029_part60.wav,60,300,5:00,0.1653,RAS,FALSE,FALSE,,,,,,
ml17_280a_0031_part23.wav,23,115,1:55,0.168,RAS,FALSE,FALSE,,,,,,
ml17_280a_0033_part39.wav,39,195,3:15,0.2313,RAS,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0035_part12.wav,12,60,1:00,0.2616,RAS,FALSE,FALSE,,,,,,
ml17_280a_0038_part4.wav,4,20,0:20,0.3335,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0039_part19.wav,19,95,1:35,0.4743,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0041_part29.wav,29,145,2:25,0.3558,ANOMALIE,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0046_part60.wav,60,300,5:00,0.1684,RAS,FALSE,FALSE,,,,,,
ml17_280a_0048_part16.wav,16,80,1:20,0.2715,RAS,FALSE,FALSE,,,,,,
ml17_280a_0052_part19.wav,19,95,1:35,0.1905,RAS,FALSE,FALSE,,,,,,
ml17_280a_0054_part42.wav,42,210,3:30,0.2094,RAS,FALSE,FALSE,,,,,,
ml17_280a_0054_part53.wav,53,265,4:25,0.3216,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0058_part44.wav,44,220,3:40,0.1962,RAS,FALSE,FALSE,,,,,,
ml17_280a_0060_part18.wav,18,90,1:30,0.417,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0060_part43.wav,43,215,3:35,0.1463,RAS,FALSE,FALSE,,,,,,
ml17_280a_0060_part66.wav,66,330,5:30,0.1676,RAS,FALSE,FALSE,,,,,,
ml17_280a_0063_part66.wav,66,330,5:30,0.2116,RAS,FALSE,FALSE,,,,,,
ml17_280a_0065_part8.wav,8,40,0:40,0.1619,RAS,FALSE,FALSE,,,,,,
ml17_280a_0068_part9.wav,9,45,0:45,0.3338,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0069_part33.wav,33,165,2:45,0.1892,RAS,FALSE,FALSE,,,,,,
ml17_280a_0070_part53.wav,53,265,4:25,0.2772,RAS,FALSE,FALSE,,,,,,
ml17_280a_0071_part14.wav,14,70,1:10,0.3246,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0071_part55.wav,55,275,4:35,0.2185,RAS,FALSE,FALSE,,,,,,
ml17_280a_0072_part33.wav,33,165,2:45,0.1519,RAS,FALSE,FALSE,,,,,,
ml17_280a_0073_part43.wav,43,215,3:35,0.2546,RAS,FALSE,FALSE,,,,,,
ml17_280a_0076_part12.wav,12,60,1:00,0.4016,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0079_part39.wav,39,195,3:15,0.1305,RAS,FALSE,FALSE,,,,,,
ml17_280a_0081_part11.wav,11,55,0:55,0.3773,ANOMALIE,TRUE,TRUE,Indeterminé/coupé,,,,,
ml17_280a_0083_part21.wav,21,105,1:45,0.473,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0083_part51.wav,51,255,4:15,0.4283,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0084_part41.wav,41,205,3:25,0.4335,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0084_part60.wav,60,300,5:00,0.427,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0084_part62.wav,62,310,5:10,0.4792,ANOMALIE,TRUE,TRUE,Bruit d'écoulement,,,,,
ml17_280a_0085_part23.wav,23,115,1:55,0.3413,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0085_part4.wav,4,20,0:20,0.4788,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0091_part38.wav,38,190,3:10,0.1924,RAS,FALSE,FALSE,,,,,,
ml17_280a_0092_part21.wav,21,105,1:45,0.1807,RAS,FALSE,FALSE,,,,,,
ml17_280a_0093_part7.wav,7,35,0:35,0.1419,RAS,FALSE,FALSE,,,,,,
ml17_280a_0095_part47.wav,47,235,3:55,0.4152,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0096_part39.wav,39,195,3:15,0.3885,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0097_part29.wav,29,145,2:25,0.5028,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0098_part21.wav,21,105,1:45,0.4484,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0098_part22.wav,22,110,1:50,0.3784,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0098_part59.wav,59,295,4:55,0.4154,ANOMALIE,TRUE,TRUE,Cachalot,,,,,
ml17_280a_0099_part10.wav,10,50,0:50,0.5595,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0103_part42.wav,42,210,3:30,0.1697,RAS,FALSE,FALSE,,,,,,
ml17_280a_0108_part10.wav,10,50,0:50,0.4549,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0109_part2.wav,2,10,0:10,0.2115,RAS,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0109_part7.wav,7,35,0:35,0.2662,RAS,FALSE,FALSE,,,,,,
ml17_280a_0110_part14.wav,14,70,1:10,0.1907,RAS,FALSE,FALSE,,,,,,
ml17_280a_0110_part61.wav,61,305,5:05,0.2064,RAS,FALSE,FALSE,,,,,,
ml17_280a_0116_part9.wav,9,45,0:45,0.3849,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0119_part29.wav,29,145,2:25,0.1587,RAS,FALSE,FALSE,,,,,,
ml17_280a_0119_part54.wav,54,270,4:30,0.1962,RAS,FALSE,FALSE,,,,,,
ml17_280a_0125_part11.wav,11,55,0:55,0.1735,RAS,FALSE,FALSE,,,,,,
ml17_280a_0129_part60.wav,60,300,5:00,0.318,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0136_part10.wav,10,50,0:50,0.3354,ANOMALIE,TRUE,FALSE,HF clicks,,,,,
ml17_280a_0137_part17.wav,17,85,1:25,0.4225,ANOMALIE,FALSE,FALSE,Bruit parasite,,,,,
ml17_280a_0137_part22.wav,22,110,1:50,0.3243,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0137_part32.wav,32,160,2:40,0.3776,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0137_part33.wav,33,165,2:45,0.2231,RAS,FALSE,FALSE,,,,,,
ml17_280a_0137_part7.wav,7,35,0:35,0.5676,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0138_part9.wav,9,45,0:45,0.3204,ANOMALIE,TRUE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0140_part1.wav,1,5,0:05,0.299,RAS,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0140_part14.wav,14,70,1:10,0.3061,RAS,TRUE,TRUE,Bruit d'écoulement,,,,,
ml17_280a_0140_part39.wav,39,195,3:15,0.4432,ANOMALIE,TRUE,TRUE,Bruit d'écoulement,,,,,
ml17_280a_0140_part7.wav,7,35,0:35,0.4629,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0140_part8.wav,8,40,0:40,0.4347,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0142_part20.wav,20,100,1:40,0.3691,ANOMALIE,TRUE,TRUE,Baleine à bosse,,,,,
ml17_280a_0143_part34.wav,34,170,2:50,0.3811,ANOMALIE,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0144_part32.wav,32,160,2:40,0.3508,ANOMALIE,FALSE,FALSE,,,,,,
ml17_280a_0144_part60.wav,60,300,5:00,0.1863,RAS,FALSE,FALSE,,,,,,
ml17_280a_0149_part6.wav,6,30,0:30,0.2616,RAS,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0153_part2.wav,2,10,0:10,0.2837,RAS,FALSE,FALSE,,,,,,
ml17_280a_0153_part23.wav,23,115,1:55,0.289,RAS,FALSE,FALSE,Bruit parasite,,,,,
ml17_280a_0153_part59.wav,59,295,4:55,0.1544,RAS,FALSE,FALSE,,,,,,
ml17_280a_0157_part10.wav,10,50,0:50,0.2794,RAS,FALSE,FALSE,Bruit d'écoulement,,,,,
