Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml17_280a_0083_part32.wav,32,160,2:40,0.7573,ANOMALIE
ml17_280a_0083_part31.wav,31,155,2:35,0.7499,ANOMALIE
ml17_280a_0083_part33.wav,33,165,2:45,0.7368,ANOMALIE
ml17_280a_0083_part27.wav,27,135,2:15,0.711,ANOMALIE
ml17_280a_0083_part24.wav,24,120,2:00,0.6967,ANOMALIE
ml17_280a_0083_part37.wav,37,185,3:05,0.6906,ANOMALIE
ml17_280a_0083_part41.wav,41,205,3:25,0.6895,ANOMALIE
ml17_280a_0083_part23.wav,23,115,1:55,0.6882,ANOMALIE
ml17_280a_0083_part39.wav,39,195,3:15,0.6861,ANOMALIE
ml17_280a_0083_part25.wav,25,125,2:05,0.6765,ANOMALIE
ml17_280a_0083_part36.wav,36,180,3:00,0.674,ANOMALIE
ml17_280a_0083_part0.wav,0,0,0:00,0.6667,ANOMALIE
ml17_280a_0083_part34.wav,34,170,2:50,0.6616,ANOMALIE
ml17_280a_0083_part29.wav,29,145,2:25,0.6566,ANOMALIE
ml17_280a_0083_part2.wav,2,10,0:10,0.6561,ANOMALIE
ml17_280a_0083_part4.wav,4,20,0:20,0.6535,ANOMALIE
ml17_280a_0083_part72.wav,72,360,6:00,0.6528,ANOMALIE
ml17_280a_0083_part77.wav,77,385,6:25,0.6522,ANOMALIE
ml17_280a_0083_part28.wav,28,140,2:20,0.6512,ANOMALIE
ml17_280a_0083_part30.wav,30,150,2:30,0.6481,ANOMALIE
ml17_280a_0083_part7.wav,7,35,0:35,0.6462,ANOMALIE
ml17_280a_0083_part83.wav,83,415,6:55,0.6434,ANOMALIE
ml17_280a_0083_part14.wav,14,70,1:10,0.6408,ANOMALIE
ml17_280a_0083_part26.wav,26,130,2:10,0.6345,ANOMALIE
ml17_280a_0083_part8.wav,8,40,0:40,0.6342,ANOMALIE
ml17_280a_0083_part35.wav,35,175,2:55,0.6256,ANOMALIE
ml17_280a_0083_part10.wav,10,50,0:50,0.6256,ANOMALIE
ml17_280a_0083_part20.wav,20,100,1:40,0.6248,ANOMALIE
ml17_280a_0083_part9.wav,9,45,0:45,0.6209,ANOMALIE
ml17_280a_0083_part84.wav,84,420,7:00,0.6153,ANOMALIE
ml17_280a_0083_part66.wav,66,330,5:30,0.615,ANOMALIE
ml17_280a_0083_part68.wav,68,340,5:40,0.6087,ANOMALIE
ml17_280a_0083_part75.wav,75,375,6:15,0.6059,ANOMALIE
ml17_280a_0083_part55.wav,55,275,4:35,0.6013,ANOMALIE
ml17_280a_0083_part64.wav,64,320,5:20,0.5999,ANOMALIE
ml17_280a_0083_part81.wav,81,405,6:45,0.5952,ANOMALIE
ml17_280a_0083_part6.wav,6,30,0:30,0.5943,ANOMALIE
ml17_280a_0083_part13.wav,13,65,1:05,0.5936,ANOMALIE
ml17_280a_0083_part45.wav,45,225,3:45,0.592,ANOMALIE
ml17_280a_0083_part11.wav,11,55,0:55,0.5913,ANOMALIE
ml17_280a_0083_part69.wav,69,345,5:45,0.5893,ANOMALIE
ml17_280a_0083_part59.wav,59,295,4:55,0.5885,ANOMALIE
ml17_280a_0083_part70.wav,70,350,5:50,0.5815,ANOMALIE
ml17_280a_0083_part79.wav,79,395,6:35,0.5791,ANOMALIE
ml17_280a_0083_part21.wav,21,105,1:45,0.5783,ANOMALIE
ml17_280a_0083_part58.wav,58,290,4:50,0.575,ANOMALIE
ml17_280a_0083_part17.wav,17,85,1:25,0.5709,ANOMALIE
ml17_280a_0083_part65.wav,65,325,5:25,0.5645,ANOMALIE
ml17_280a_0083_part22.wav,22,110,1:50,0.5643,ANOMALIE
ml17_280a_0083_part51.wav,51,255,4:15,0.5597,ANOMALIE
ml17_280a_0083_part15.wav,15,75,1:15,0.5594,ANOMALIE
ml17_280a_0083_part16.wav,16,80,1:20,0.5592,ANOMALIE
ml17_280a_0083_part18.wav,18,90,1:30,0.5585,ANOMALIE
ml17_280a_0083_part19.wav,19,95,1:35,0.5579,ANOMALIE
ml17_280a_0083_part1.wav,1,5,0:05,0.5436,ANOMALIE
ml17_280a_0083_part63.wav,63,315,5:15,0.5419,ANOMALIE
ml17_280a_0083_part3.wav,3,15,0:15,0.5405,ANOMALIE
ml17_280a_0083_part60.wav,60,300,5:00,0.5344,ANOMALIE
ml17_280a_0083_part76.wav,76,380,6:20,0.5292,ANOMALIE
ml17_280a_0083_part67.wav,67,335,5:35,0.5217,ANOMALIE
ml17_280a_0083_part12.wav,12,60,1:00,0.5201,ANOMALIE
ml17_280a_0083_part62.wav,62,310,5:10,0.5063,ANOMALIE
ml17_280a_0083_part74.wav,74,370,6:10,0.5019,ANOMALIE
ml17_280a_0083_part5.wav,5,25,0:25,0.4769,ANOMALIE
ml17_280a_0083_part49.wav,49,245,4:05,0.4748,ANOMALIE
ml17_280a_0083_part53.wav,53,265,4:25,0.4725,ANOMALIE
ml17_280a_0083_part57.wav,57,285,4:45,0.4705,ANOMALIE
ml17_280a_0083_part52.wav,52,260,4:20,0.4534,ANOMALIE
ml17_280a_0083_part82.wav,82,410,6:50,0.4481,ANOMALIE
ml17_280a_0083_part40.wav,40,200,3:20,0.4447,ANOMALIE
ml17_280a_0083_part80.wav,80,400,6:40,0.4351,ANOMALIE
ml17_280a_0083_part71.wav,71,355,5:55,0.4265,ANOMALIE
ml17_280a_0083_part48.wav,48,240,4:00,0.4201,ANOMALIE
ml17_280a_0083_part61.wav,61,305,5:05,0.4116,ANOMALIE
ml17_280a_0083_part54.wav,54,270,4:30,0.3869,ANOMALIE
ml17_280a_0083_part78.wav,78,390,6:30,0.3816,ANOMALIE
ml17_280a_0083_part50.wav,50,250,4:10,0.3624,ANOMALIE
ml17_280a_0083_part42.wav,42,210,3:30,0.3611,ANOMALIE
ml17_280a_0083_part73.wav,73,365,6:05,0.36,ANOMALIE
ml17_280a_0083_part38.wav,38,190,3:10,0.3541,ANOMALIE
ml17_280a_0083_part43.wav,43,215,3:35,0.3402,ANOMALIE
ml17_280a_0083_part47.wav,47,235,3:55,0.3195,RAS
ml17_280a_0083_part44.wav,44,220,3:40,0.3146,RAS
ml17_280a_0083_part56.wav,56,280,4:40,0.2687,RAS
ml17_280a_0083_part46.wav,46,230,3:50,0.2618,RAS
