Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,Unnamed: 8,Validation_Humaine
ml17_280a_0083_part0.wav,0,0,0:00,0.5812,ANOMALIE,Yes,,ml17_280a_00830000,ANOMALIE
ml17_280a_0083_part1.wav,1,5,0:05,0.2752,ANOMALIE,Yes,,ml17_280a_00830001,ANOMALIE
ml17_280a_0083_part2.wav,2,10,0:10,0.5571,ANOMALIE,Yes,,ml17_280a_00830002,ANOMALIE
ml17_280a_0083_part3.wav,3,15,0:15,0.205,RAS,Yes (-),,ml17_280a_00830003,ANOMALIE
ml17_280a_0083_part4.wav,4,20,0:20,0.5054,ANOMALIE,Yes,,ml17_280a_00830004,ANOMALIE
ml17_280a_0083_part5.wav,5,25,0:25,0.186,RAS,Yes (-),,ml17_280a_00830005,ANOMALIE
ml17_280a_0083_part6.wav,6,30,0:30,0.5519,ANOMALIE,,,ml17_280a_00830006,ANOMALIE
ml17_280a_0083_part7.wav,7,35,0:35,0.5343,ANOMALIE,,,ml17_280a_00830007,ANOMALIE
ml17_280a_0083_part8.wav,8,40,0:40,0.4727,ANOMALIE,,,ml17_280a_00830008,ANOMALIE
ml17_280a_0083_part9.wav,9,45,0:45,0.5062,ANOMALIE,,,ml17_280a_00830009,ANOMALIE
ml17_280a_0083_part10.wav,10,50,0:50,0.4804,ANOMALIE,,,ml17_280a_00830010,ANOMALIE
ml17_280a_0083_part11.wav,11,55,0:55,0.4637,ANOMALIE,,,ml17_280a_00830011,ANOMALIE
ml17_280a_0083_part12.wav,12,60,1:00,0.4229,ANOMALIE,,,ml17_280a_00830012,ANOMALIE
ml17_280a_0083_part13.wav,13,65,1:05,0.5193,ANOMALIE,,,ml17_280a_00830013,ANOMALIE
ml17_280a_0083_part14.wav,14,70,1:10,0.5319,ANOMALIE,,,ml17_280a_00830014,ANOMALIE
ml17_280a_0083_part15.wav,15,75,1:15,0.4676,ANOMALIE,,,ml17_280a_00830015,ANOMALIE
ml17_280a_0083_part16.wav,16,80,1:20,0.4385,ANOMALIE,,,ml17_280a_00830016,ANOMALIE
ml17_280a_0083_part17.wav,17,85,1:25,0.4752,ANOMALIE,,,ml17_280a_00830017,ANOMALIE
ml17_280a_0083_part18.wav,18,90,1:30,0.3925,ANOMALIE,,,ml17_280a_00830018,ANOMALIE
ml17_280a_0083_part19.wav,19,95,1:35,0.428,ANOMALIE,,,ml17_280a_00830019,ANOMALIE
ml17_280a_0083_part20.wav,20,100,1:40,0.5009,ANOMALIE,,,ml17_280a_00830020,ANOMALIE
ml17_280a_0083_part21.wav,21,105,1:45,0.4945,ANOMALIE,,,ml17_280a_00830021,ANOMALIE
ml17_280a_0083_part22.wav,22,110,1:50,0.396,ANOMALIE,,,ml17_280a_00830022,ANOMALIE
ml17_280a_0083_part23.wav,23,115,1:55,0.5177,ANOMALIE,,,ml17_280a_00830023,ANOMALIE
ml17_280a_0083_part24.wav,24,120,2:00,0.4962,ANOMALIE,,,ml17_280a_00830024,ANOMALIE
