Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0099_part41.wav,41,205,3:25,0.6926,Anomaly,Anomaly,
ml17_280a_0083_part31.wav,31,155,2:35,0.683,Anomaly,Anomaly,
ml17_280a_0095_part55.wav,55,275,4:35,0.6596,Anomaly,Anomaly,
ml17_280a_0095_part25.wav,25,125,2:05,0.6594,Anomaly,Anomaly,
ml17_280a_0083_part32.wav,32,160,2:40,0.6497,Anomaly,Anomaly,
ml17_280a_0036_part40.wav,40,200,3:20,0.6497,Anomaly,Anomaly,
ml17_280a_0168_part5.wav,5,25,0:25,0.6447,Anomaly,Anomaly,
ml17_280a_0081_part19.wav,19,95,1:35,0.6445,Anomaly,Anomaly,
ml17_280a_0095_part61.wav,61,305,5:05,0.6425,Anomaly,Anomaly,
ml17_280a_0099_part40.wav,40,200,3:20,0.6399,Anomaly,Anomaly,
ml17_280a_0095_part59.wav,59,295,4:55,0.6373,Anomaly,Anomaly,
ml17_280a_0086_part46.wav,46,230,3:50,0.6364,Anomaly,Anomaly,
ml17_280a_0095_part57.wav,57,285,4:45,0.6344,Anomaly,Anomaly,
ml17_280a_0137_part15.wav,15,75,1:15,0.6272,Anomaly,Anomaly,
ml17_280a_0099_part12.wav,12,60,1:00,0.6263,Anomaly,Anomaly,
ml17_280a_0083_part37.wav,37,185,3:05,0.6261,Anomaly,Anomaly,
ml17_280a_0099_part39.wav,39,195,3:15,0.6254,Anomaly,Anomaly,
ml17_280a_0058_part38.wav,38,190,3:10,0.6243,Anomaly,Anomaly,
ml17_280a_0153_part35.wav,35,175,2:55,0.6242,Anomaly,Anomaly,
ml17_280a_0081_part27.wav,27,135,2:15,0.6225,Anomaly,Anomaly,
ml17_280a_0096_part36.wav,36,180,3:00,0.6222,Anomaly,Anomaly,
ml17_280a_0095_part58.wav,58,290,4:50,0.6221,Anomaly,Anomaly,
ml17_280a_0095_part62.wav,62,310,5:10,0.6218,Anomaly,Anomaly,
ml17_280a_0137_part3.wav,3,15,0:15,0.6166,Anomaly,Anomaly,
ml17_280a_0083_part33.wav,33,165,2:45,0.6156,Anomaly,Anomaly,
ml17_280a_0095_part56.wav,56,280,4:40,0.6129,Anomaly,Anomaly,
ml17_280a_0085_part7.wav,7,35,0:35,0.6109,Anomaly,Anomaly,
ml17_280a_0137_part1.wav,1,5,0:05,0.6101,Anomaly,Anomaly,
ml17_280a_0095_part54.wav,54,270,4:30,0.607,Anomaly,Anomaly,
ml17_280a_0081_part20.wav,20,100,1:40,0.6047,Anomaly,Anomaly,
ml17_280a_0041_part28.wav,28,140,2:20,0.6034,Anomaly,Anomaly,mhmh
ml17_280a_0084_part7.wav,7,35,0:35,0.6031,Anomaly,Anomaly,
ml17_280a_0083_part41.wav,41,205,3:25,0.6027,Anomaly,Anomaly,
ml17_280a_0168_part12.wav,12,60,1:00,0.602,Anomaly,Anomaly,
ml17_280a_0099_part25.wav,25,125,2:05,0.601,Anomaly,Anomaly,
ml17_280a_0137_part13.wav,13,65,1:05,0.5992,Anomaly,Anomaly,
ml17_280a_0083_part39.wav,39,195,3:15,0.5985,Anomaly,Anomaly,
ml17_280a_0081_part59.wav,59,295,4:55,0.597,Anomaly,Anomaly,
ml17_280a_0082_part51.wav,51,255,4:15,0.5967,Anomaly,Anomaly,
ml17_280a_0082_part15.wav,15,75,1:15,0.5965,Anomaly,Anomaly,
ml17_280a_0083_part24.wav,24,120,2:00,0.5945,Anomaly,Anomaly,
ml17_280a_0081_part24.wav,24,120,2:00,0.5935,Anomaly,Anomaly,
ml17_280a_0095_part32.wav,32,160,2:40,0.5934,Anomaly,Anomaly,
ml17_280a_0137_part5.wav,5,25,0:25,0.5934,Anomaly,Anomaly,
ml17_280a_0082_part62.wav,62,310,5:10,0.5921,Anomaly,Anomaly,
ml17_280a_0086_part44.wav,44,220,3:40,0.5913,Anomaly,Anomaly,
ml17_280a_0171_part14.wav,14,70,1:10,0.5897,Anomaly,Anomaly, 
ml17_280a_0137_part6.wav,6,30,0:30,0.5892,Anomaly,Anomaly,
ml17_280a_0099_part38.wav,38,190,3:10,0.589,Anomaly,Anomaly,
ml17_280a_0137_part11.wav,11,55,0:55,0.5888,Anomaly,Anomaly,
ml17_280a_0083_part36.wav,36,180,3:00,0.5878,Anomaly,Anomaly,
ml17_280a_0085_part8.wav,8,40,0:40,0.5873,Anomaly,Anomaly,
ml17_280a_0083_part0.wav,0,0,0:00,0.5859,Anomaly,Anomaly,
ml17_280a_0082_part22.wav,22,110,1:50,0.5848,Anomaly,Anomaly,
ml17_280a_0162_part0.wav,0,0,0:00,0.5841,Anomaly,Anomaly,
ml17_280a_0099_part23.wav,23,115,1:55,0.584,Anomaly,Anomaly,
ml17_280a_0137_part12.wav,12,60,1:00,0.5829,Anomaly,Anomaly,
ml17_280a_0082_part38.wav,38,190,3:10,0.5822,Anomaly,Anomaly,
ml17_280a_0083_part27.wav,27,135,2:15,0.5813,Anomaly,Anomaly,
ml17_280a_0096_part26.wav,26,130,2:10,0.5804,Anomaly,Anomaly,
ml17_280a_0083_part2.wav,2,10,0:10,0.58,Anomaly,Anomaly,
ml17_280a_0165_part0.wav,0,0,0:00,0.5797,Anomaly,Anomaly,click
ml17_280a_0095_part33.wav,33,165,2:45,0.5796,Anomaly,Anomaly,
ml17_280a_0161_part0.wav,0,0,0:00,0.5777,Anomaly,Anomaly,
ml17_280a_0039_part40.wav,40,200,3:20,0.5775,Anomaly,Anomaly,click
ml17_280a_0164_part2.wav,2,10,0:10,0.5769,Anomaly,Anomaly,
ml17_280a_0137_part4.wav,4,20,0:20,0.5764,Anomaly,Anomaly,
ml17_280a_0153_part45.wav,45,225,3:45,0.5724,Anomaly,Anomaly,
ml17_280a_0137_part14.wav,14,70,1:10,0.5708,Anomaly,Anomaly,
ml17_280a_0099_part29.wav,29,145,2:25,0.5689,Anomaly,Anomaly,
ml17_280a_0081_part28.wav,28,140,2:20,0.5681,Anomaly,Anomaly,
ml17_280a_0165_part28.wav,28,140,2:20,0.5678,Anomaly,Anomaly,
ml17_280a_0099_part30.wav,30,150,2:30,0.5676,Anomaly,Anomaly,
ml17_280a_0137_part7.wav,7,35,0:35,0.5676,Anomaly,Anomaly,
ml17_280a_0095_part53.wav,53,265,4:25,0.5675,Anomaly,Anomaly,
ml17_280a_0095_part27.wav,27,135,2:15,0.5667,Anomaly,Anomaly,
ml17_280a_0139_part4.wav,4,20,0:20,0.5664,Anomaly,Anomaly,
ml17_280a_0168_part13.wav,13,65,1:05,0.5659,Anomaly,Anomaly,
ml17_280a_0084_part15.wav,15,75,1:15,0.5654,Anomaly,Anomaly,
ml17_280a_0169_part21.wav,21,105,1:45,0.564,Anomaly,Anomaly,vent
ml17_280a_0137_part10.wav,10,50,0:50,0.5636,Anomaly,Anomaly,
ml17_280a_0153_part30.wav,30,150,2:30,0.5631,Anomaly,Anomaly,
ml17_280a_0015_part18.wav,18,90,1:30,0.5624,Anomaly,Anomaly,
ml17_280a_0099_part37.wav,37,185,3:05,0.5621,Anomaly,Anomaly,
