Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0083_part31.wav,31,2:35,0.1798,0.6837,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part25.wav,25,2:05,0.1792,0.662,⚠️ ANOMALIE,Très éloigné du bruit de référence,uncertain,
ml17_280a_0099_part41.wav,41,3:25,0.1765,0.6857,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part19.wav,19,1:35,0.1764,0.641,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part59.wav,59,4:55,0.1747,0.6116,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0153_part35.wav,35,2:55,0.1745,0.63,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part32.wav,32,2:40,0.1727,0.6434,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part58.wav,58,4:50,0.1696,0.6269,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part28.wav,28,2:20,0.1669,0.5273,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0171_part14.wav,14,1:10,0.1653,0.6075,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part26.wav,26,2:10,0.1646,0.5403,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0096_part36.wav,36,3:00,0.1641,0.6349,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part39.wav,39,3:15,0.1636,0.5767,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part32.wav,32,2:40,0.1632,0.594,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part61.wav,61,5:05,0.1628,0.6494,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part54.wav,54,4:30,0.1622,0.6165,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part24.wav,24,2:00,0.1599,0.6023,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0168_part11.wav,11,0:55,0.1597,0.5649,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0137_part5.wav,5,0:25,0.1596,0.6006,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part18.wav,18,1:30,0.1594,0.5269,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part55.wav,55,4:35,0.1592,0.6629,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part20.wav,20,1:40,0.1592,0.6049,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part27.wav,27,2:15,0.1587,0.5749,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0168_part5.wav,5,0:25,0.1581,0.6494,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0085_part11.wav,11,0:55,0.1579,0.5442,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0168_part12.wav,12,1:00,0.1573,0.6179,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0097_part27.wav,27,2:15,0.157,0.5506,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0099_part40.wav,40,3:20,0.157,0.6193,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part33.wav,33,2:45,0.1564,0.6192,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part59.wav,59,4:55,0.1561,0.5927,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0141_part37.wav,37,3:05,0.1561,0.5437,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0086_part46.wav,46,3:50,0.1561,0.6327,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part56.wav,56,4:40,0.1558,0.6021,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0137_part3.wav,3,0:15,0.1556,0.612,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0084_part17.wav,17,1:25,0.1542,0.5487,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0039_part40.wav,40,3:20,0.1539,0.5816,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part14.wav,14,1:10,0.1538,0.5596,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0098_part27.wav,27,2:15,0.1526,0.5446,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part57.wav,57,4:45,0.1525,0.6399,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part30.wav,30,2:30,0.1524,0.5714,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part4.wav,4,0:20,0.1524,0.5594,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0036_part40.wav,40,3:20,0.1517,0.6396,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part26.wav,26,2:10,0.1515,0.5524,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0099_part38.wav,38,3:10,0.1514,0.592,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part33.wav,33,2:45,0.1513,0.5842,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0082_part29.wav,29,2:25,0.151,0.5385,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part48.wav,48,4:00,0.1494,0.5185,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0096_part26.wav,26,2:10,0.1489,0.5842,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part37.wav,37,3:05,0.1488,0.6275,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part25.wav,25,2:05,0.1483,0.5512,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0096_part34.wav,34,2:50,0.1482,0.5671,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0153_part45.wav,45,3:45,0.1478,0.5715,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part27.wav,27,2:15,0.1476,0.6222,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0161_part0.wav,0,0:00,0.1475,0.5767,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0098_part28.wav,28,2:20,0.1466,0.535,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part23.wav,23,1:55,0.1465,0.552,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0082_part13.wav,13,1:05,0.1465,0.5005,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0098_part25.wav,25,2:05,0.1465,0.5019,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0137_part11.wav,11,0:55,0.1462,0.602,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0171_part13.wav,13,1:05,0.1455,0.5816,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0099_part39.wav,39,3:15,0.1453,0.5401,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0165_part0.wav,0,0:00,0.1451,0.5864,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0084_part7.wav,7,0:35,0.1448,0.5922,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
