Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml17_280a_0083_part31.wav,31,155,2:35,0.6221,ANOMALIE
ml17_280a_0083_part37.wav,37,185,3:05,0.5946,ANOMALIE
ml17_280a_0083_part77.wav,77,385,6:25,0.5944,ANOMALIE
ml17_280a_0083_part29.wav,29,145,2:25,0.5871,ANOMALIE
ml17_280a_0083_part32.wav,32,160,2:40,0.5839,ANOMALIE
ml17_280a_0083_part33.wav,33,165,2:45,0.5833,ANOMALIE
ml17_280a_0083_part0.wav,0,0,0:00,0.582,ANOMALIE
ml17_280a_0083_part36.wav,36,180,3:00,0.5651,ANOMALIE
ml17_280a_0083_part2.wav,2,10,0:10,0.5573,ANOMALIE
ml17_280a_0083_part6.wav,6,30,0:30,0.5528,ANOMALIE
ml17_280a_0083_part41.wav,41,205,3:25,0.5453,ANOMALIE
ml17_280a_0083_part39.wav,39,195,3:15,0.545,ANOMALIE
ml17_280a_0083_part83.wav,83,415,6:55,0.543,ANOMALIE
ml17_280a_0083_part27.wav,27,135,2:15,0.543,ANOMALIE
ml17_280a_0083_part25.wav,25,125,2:05,0.5415,ANOMALIE
ml17_280a_0083_part72.wav,72,360,6:00,0.5413,ANOMALIE
ml17_280a_0083_part81.wav,81,405,6:45,0.537,ANOMALIE
ml17_280a_0083_part84.wav,84,420,7:00,0.5367,ANOMALIE
ml17_280a_0083_part7.wav,7,35,0:35,0.5356,ANOMALIE
ml17_280a_0083_part14.wav,14,70,1:10,0.5313,ANOMALIE
ml17_280a_0083_part30.wav,30,150,2:30,0.5284,ANOMALIE
ml17_280a_0083_part28.wav,28,140,2:20,0.5255,ANOMALIE
ml17_280a_0083_part13.wav,13,65,1:05,0.5211,ANOMALIE
ml17_280a_0083_part23.wav,23,115,1:55,0.5192,ANOMALIE
ml19_293a_0066_part57.wav,57,285,4:45,0.5137,ANOMALIE
ml17_280a_0083_part9.wav,9,45,0:45,0.5073,ANOMALIE
ml17_280a_0083_part4.wav,4,20,0:20,0.5063,ANOMALIE
ml17_280a_0083_part20.wav,20,100,1:40,0.5021,ANOMALIE
ml17_280a_0083_part24.wav,24,120,2:00,0.4986,ANOMALIE
ml17_280a_0083_part21.wav,21,105,1:45,0.4958,ANOMALIE
ml17_280a_0083_part75.wav,75,375,6:15,0.4955,ANOMALIE
ml17_280a_0083_part10.wav,10,50,0:50,0.4811,ANOMALIE
ml17_280a_0144_part54.wav,54,270,4:30,0.4792,ANOMALIE
ml17_280a_0083_part26.wav,26,130,2:10,0.4769,ANOMALIE
ml17_280a_0083_part17.wav,17,85,1:25,0.4752,ANOMALIE
ml17_280a_0083_part8.wav,8,40,0:40,0.4748,ANOMALIE
ml17_280a_0083_part34.wav,34,170,2:50,0.4722,ANOMALIE
ml17_280a_0083_part15.wav,15,75,1:15,0.4704,ANOMALIE
ml17_280a_0083_part11.wav,11,55,0:55,0.4645,ANOMALIE
ml17_280a_0144_part162.wav,162,810,13:30,0.4601,ANOMALIE
ml19_292a_0030_part61.wav,61,305,5:05,0.4577,ANOMALIE
ml17_280a_0083_part79.wav,79,395,6:35,0.4572,ANOMALIE
ml17_280a_0083_part45.wav,45,225,3:45,0.4506,ANOMALIE
ml19_293a_0066_part59.wav,59,295,4:55,0.4424,ANOMALIE
ml17_280a_0083_part16.wav,16,80,1:20,0.4396,ANOMALIE
ml17_280a_0083_part74.wav,74,370,6:10,0.4348,ANOMALIE
ml19_292a_0030_part73.wav,73,365,6:05,0.4316,ANOMALIE
