Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Validation_Humaine
ml17_280a_0083_part31.wav,31,2:35,0.6224,0.5603,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part37.wav,37,3:05,0.5946,0.5741,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part77.wav,77,6:25,0.5942,0.5575,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part29.wav,29,2:25,0.5872,0.5589,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part32.wav,32,2:40,0.5841,0.5587,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part33.wav,33,2:45,0.5833,0.5296,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part0.wav,0,0:00,0.5821,0.5732,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part36.wav,36,3:00,0.5651,0.5455,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part2.wav,2,0:10,0.5573,0.5448,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part6.wav,6,0:30,0.5531,0.5183,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part41.wav,41,3:25,0.5452,0.522,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part39.wav,39,3:15,0.5452,0.5164,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part27.wav,27,2:15,0.543,0.5236,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part83.wav,83,6:55,0.5428,0.4973,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part25.wav,25,2:05,0.5416,0.5233,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part72.wav,72,6:00,0.5413,0.4804,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part81.wav,81,6:45,0.5368,0.5,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part84.wav,84,7:00,0.5367,0.4837,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part7.wav,7,0:35,0.5359,0.5177,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part14.wav,14,1:10,0.5312,0.49,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part30.wav,30,2:30,0.5285,0.4979,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part28.wav,28,2:20,0.5257,0.4874,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part13.wav,13,1:05,0.5216,0.484,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part23.wav,23,1:55,0.5192,0.4852,ANOMALIE,Ecart bruit,A_VALIDER
ml19_293a_0066_part57.wav,57,4:45,0.5133,0.5316,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part9.wav,9,0:45,0.5075,0.4613,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part4.wav,4,0:20,0.5064,0.4716,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part20.wav,20,1:40,0.5021,0.4639,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part24.wav,24,2:00,0.4989,0.4614,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part21.wav,21,1:45,0.4955,0.4789,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part75.wav,75,6:15,0.4953,0.4742,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part10.wav,10,0:50,0.4813,0.4547,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part54.wav,54,4:30,0.479,0.4772,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part26.wav,26,2:10,0.4768,0.4381,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part17.wav,17,1:25,0.4752,0.4548,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part8.wav,8,0:40,0.4751,0.4522,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part34.wav,34,2:50,0.472,0.4479,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part15.wav,15,1:15,0.4708,0.4524,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part11.wav,11,0:55,0.4648,0.4398,ANOMALIE,Ecart bruit,A_VALIDER
