Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml17_280a_0083_part0.wav,0,0,0:00,0.5812,ANOMALIE,Yes,,ml17_280a_00830000
ml17_280a_0083_part1.wav,1,5,0:05,0.2752,ANOMALIE,Yes,,ml17_280a_00830001
ml17_280a_0083_part2.wav,2,10,0:10,0.5571,ANOMALIE,Yes,,ml17_280a_00830002
ml17_280a_0083_part3.wav,3,15,0:15,0.205,RAS,Yes (-),,ml17_280a_00830003
ml17_280a_0083_part4.wav,4,20,0:20,0.5054,ANOMALIE,Yes,,ml17_280a_00830004
ml17_280a_0083_part5.wav,5,25,0:25,0.186,RAS,Yes (-),,ml17_280a_00830005
ml17_280a_0083_part6.wav,6,30,0:30,0.5519,ANOMALIE,,,ml17_280a_00830006
ml17_280a_0083_part7.wav,7,35,0:35,0.5343,ANOMALIE,,,ml17_280a_00830007
ml17_280a_0083_part8.wav,8,40,0:40,0.4727,ANOMALIE,,,ml17_280a_00830008
ml17_280a_0083_part9.wav,9,45,0:45,0.5062,ANOMALIE,,,ml17_280a_00830009
ml17_280a_0083_part10.wav,10,50,0:50,0.4804,ANOMALIE,,,ml17_280a_00830010
ml17_280a_0083_part11.wav,11,55,0:55,0.4637,ANOMALIE,,,ml17_280a_00830011
ml17_280a_0083_part12.wav,12,60,1:00,0.4229,ANOMALIE,,,ml17_280a_00830012
ml17_280a_0083_part13.wav,13,65,1:05,0.5193,ANOMALIE,,,ml17_280a_00830013
ml17_280a_0083_part14.wav,14,70,1:10,0.5319,ANOMALIE,,,ml17_280a_00830014
ml17_280a_0083_part15.wav,15,75,1:15,0.4676,ANOMALIE,,,ml17_280a_00830015
ml17_280a_0083_part16.wav,16,80,1:20,0.4385,ANOMALIE,,,ml17_280a_00830016
ml17_280a_0083_part17.wav,17,85,1:25,0.4752,ANOMALIE,,,ml17_280a_00830017
ml17_280a_0083_part18.wav,18,90,1:30,0.3925,ANOMALIE,,,ml17_280a_00830018
ml17_280a_0083_part19.wav,19,95,1:35,0.428,ANOMALIE,,,ml17_280a_00830019
ml17_280a_0083_part20.wav,20,100,1:40,0.5009,ANOMALIE,,,ml17_280a_00830020
ml17_280a_0083_part21.wav,21,105,1:45,0.4945,ANOMALIE,,,ml17_280a_00830021
ml17_280a_0083_part22.wav,22,110,1:50,0.396,ANOMALIE,,,ml17_280a_00830022
ml17_280a_0083_part23.wav,23,115,1:55,0.5177,ANOMALIE,,,ml17_280a_00830023
ml17_280a_0083_part24.wav,24,120,2:00,0.4962,ANOMALIE,,,ml17_280a_00830024
ml17_280a_0083_part25.wav,25,125,2:05,0.5406,ANOMALIE,,,ml17_280a_00830025
ml17_280a_0083_part26.wav,26,130,2:10,0.4764,ANOMALIE,,,ml17_280a_00830026
ml17_280a_0083_part27.wav,27,135,2:15,0.5412,ANOMALIE,,,ml17_280a_00830027
ml17_280a_0083_part28.wav,28,140,2:20,0.5251,ANOMALIE,,,ml17_280a_00830028
ml17_280a_0083_part29.wav,29,145,2:25,0.586,ANOMALIE,,,ml17_280a_00830029
ml17_280a_0083_part30.wav,30,150,2:30,0.5271,ANOMALIE,,,ml17_280a_00830030
ml17_280a_0083_part31.wav,31,155,2:35,0.6207,ANOMALIE,,,ml17_280a_00830031
ml17_280a_0083_part32.wav,32,160,2:40,0.5816,ANOMALIE,,,ml17_280a_00830032
ml17_280a_0083_part33.wav,33,165,2:45,0.582,ANOMALIE,,,ml17_280a_00830033
ml17_280a_0083_part34.wav,34,170,2:50,0.4709,ANOMALIE,,,ml17_280a_00830034
ml17_280a_0083_part35.wav,35,175,2:55,0.3699,ANOMALIE,,,ml17_280a_00830035
ml17_280a_0083_part36.wav,36,180,3:00,0.5655,ANOMALIE,,,ml17_280a_00830036
ml17_280a_0083_part37.wav,37,185,3:05,0.594,ANOMALIE,,,ml17_280a_00830037
ml17_280a_0083_part38.wav,38,190,3:10,0.251,ANOMALIE,,,ml17_280a_00830038
ml17_280a_0083_part39.wav,39,195,3:15,0.5449,ANOMALIE,,,ml17_280a_00830039
ml17_280a_0083_part40.wav,40,200,3:20,0.3611,ANOMALIE,,,ml17_280a_00830040
ml17_280a_0083_part41.wav,41,205,3:25,0.5447,ANOMALIE,,,ml17_280a_00830041
ml17_280a_0083_part42.wav,42,210,3:30,0.1477,RAS,,,ml17_280a_00830042
ml17_280a_0083_part43.wav,43,215,3:35,0.1312,RAS,,,ml17_280a_00830043
ml17_280a_0083_part44.wav,44,220,3:40,0.0927,RAS,,,ml17_280a_00830044
ml17_280a_0083_part45.wav,45,225,3:45,0.4501,ANOMALIE,,,ml17_280a_00830045
ml17_280a_0083_part46.wav,46,230,3:50,0.0808,RAS,,,ml17_280a_00830046
ml17_280a_0083_part47.wav,47,235,3:55,0.1663,RAS,,,ml17_280a_00830047
ml17_280a_0083_part48.wav,48,240,4:00,0.1515,RAS,,,ml17_280a_00830048
ml17_280a_0083_part49.wav,49,245,4:05,0.3825,ANOMALIE,,,ml17_280a_00830049
