chunk_id,audio_path,mel_path,embedding_path,label,distance_to_ref
ml19_292b_0011_chunk0000,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0000.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0000.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0000.npy,-1,-1.0
ml19_292b_0011_chunk0001,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0001.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0001.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0001.npy,-1,-1.0
ml19_292b_0011_chunk0002,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0002.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0002.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0002.npy,-1,-1.0
ml19_292b_0011_chunk0003,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0003.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0003.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0003.npy,-1,-1.0
ml19_292b_0011_chunk0004,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0004.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0004.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0004.npy,-1,-1.0
ml19_292b_0011_chunk0005,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0005.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0005.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0005.npy,-1,-1.0
ml19_292b_0011_chunk0006,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0006.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0006.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0006.npy,-1,-1.0
ml19_292b_0011_chunk0007,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0007.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0007.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0007.npy,-1,-1.0
ml19_292b_0011_chunk0008,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0008.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0008.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0008.npy,-1,-1.0
ml19_292b_0011_chunk0009,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/audio_chunks/ml19_292b_0011_chunk0009.wav,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/mels/ml19_292b_0011_chunk0009.npy,/mnt/gpu_storage/cs_courses/cetaceans/outputs/ml19_292b/embeddings/ml19_292b_0011_chunk0009.npy,-1,-1.0
