filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0033_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,1.0328395,1260.5133,0,1,0,0
ml17_280a_0033_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.0027771,974.0941,0,0,0,0
ml17_280a_0033_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.2692684,1184.3293,1,1,1,0
ml17_280a_0033_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.2220298,1764.7216,1,1,0,1
ml17_280a_0033_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.2341686,685.23047,1,0,0,0
ml17_280a_0033_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,0.98774356,769.0756,0,0,0,0
ml17_280a_0033_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0534843,605.0652,0,0,0,0
ml17_280a_0033_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.1549726,1035.8652,0,0,0,0
ml17_280a_0033_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.023199,959.0168,0,0,0,0
ml17_280a_0033_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.0187554,1062.5627,0,0,0,0
ml17_280a_0033_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,1.1192247,660.7279,0,0,0,0
ml17_280a_0033_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.1061593,994.5581,0,0,0,0
ml17_280a_0033_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,1.077451,1644.9438,0,1,0,1
ml17_280a_0033_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,1.1127374,912.3728,0,0,0,0
ml17_280a_0033_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.3040202,1165.0687,1,0,1,0
ml17_280a_0033_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.0960072,856.81116,0,0,0,0
ml17_280a_0033_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,1.1791584,1140.5697,1,0,0,0
ml17_280a_0033_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,1.1169666,685.7523,0,0,0,0
ml17_280a_0033_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,1.0177127,1165.6265,0,0,0,0
ml17_280a_0033_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,1.0410588,1479.6152,0,1,0,0
ml17_280a_0033_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,1.0653346,1979.9344,0,1,0,1
ml17_280a_0033_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,1.029073,1561.6378,0,1,0,1
ml17_280a_0033_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,1.0095274,1062.6257,0,0,0,0
ml17_280a_0033_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,1.0231196,1123.5748,0,0,0,0
ml17_280a_0033_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,1.0161407,880.3519,0,0,0,0
ml17_280a_0033_chunk0028.wav,28,140.0,145.0,2.333,2.417,0,1.0577434,1333.8765,0,1,0,0
ml17_280a_0033_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,1.0166276,1133.4358,0,0,0,0
ml17_280a_0033_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,1.0140865,735.94336,0,0,0,0
ml17_280a_0033_chunk0031.wav,31,155.0,160.0,2.583,2.667,0,1.054458,1507.5195,0,1,0,1
ml17_280a_0033_chunk0032.wav,32,160.0,165.0,2.667,2.75,0,1.0848892,1755.6221,0,1,0,1
ml17_280a_0033_chunk0033.wav,33,165.0,170.0,2.75,2.833,0,1.0152087,1138.2094,0,0,0,0
ml17_280a_0033_chunk0036.wav,36,180.0,185.0,3.0,3.083,0,1.0014026,879.7465,0,0,0,0
ml17_280a_0033_chunk0037.wav,37,185.0,190.0,3.083,3.167,0,1.0010027,753.8089,0,0,0,0
ml17_280a_0033_chunk0038.wav,38,190.0,195.0,3.167,3.25,0,1.0192356,621.5086,0,0,0,0
ml17_280a_0033_chunk0039.wav,39,195.0,200.0,3.25,3.333,0,1.0437487,667.2351,0,0,0,0
ml17_280a_0033_chunk0040.wav,40,200.0,205.0,3.333,3.417,0,1.1306272,856.59595,0,0,0,0
ml17_280a_0033_chunk0041.wav,41,205.0,210.0,3.417,3.5,0,0.99826735,790.0892,0,0,0,0
ml17_280a_0033_chunk0042.wav,42,210.0,215.0,3.5,3.583,0,1.0350993,1115.8207,0,0,0,0
ml17_280a_0033_chunk0043.wav,43,215.0,220.0,3.583,3.667,0,1.0260675,1076.868,0,0,0,0
