recording_id,n_clips,lof_auroc,lof_ap,lof_f1_oracle,lof_f1_p90,gaussian_auroc,gaussian_ap,gaussian_f1_oracle,gaussian_f1_p90
ml17_280a_0001,17,,,,,,,,
ml17_280a_0002,70,,,,,,,,
ml17_280a_0003,67,,,,,,,,
ml17_280a_0004,15,,,,,,,,
ml17_280a_0005,84,,,,,,,,
ml17_280a_0006,60,,,,,,,,
ml17_280a_0007,77,,,,,,,,
ml17_280a_0008,80,,,,,,,,
ml17_280a_0009,45,,,,,,,,
ml17_280a_0010,47,,,,,,,,
ml17_280a_0011,98,,,,,,,,
ml17_280a_0012,147,0.8493150684931507,0.043478260869565216,0.08333333333333333,0.0,0.863013698630137,0.047619047619047616,0.0909090909090909,0.0
ml17_280a_0013,109,,,,,,,,
ml17_280a_0014,57,,,,,,,,
ml17_280a_0015,43,1.0,1.0,1.0,0.3333333333333333,0.9523809523809523,0.3333333333333333,0.5,0.3333333333333333
ml17_280a_0016,30,,,,,,,,
ml17_280a_0017,44,,,,,,,,
ml17_280a_0018,17,,,,,,,,
ml17_280a_0019,117,0.6724137931034483,0.02564102564102564,0.05,0.0,0.9741379310344828,0.25,0.4,0.15384615384615385
ml17_280a_0020,69,,,,,,,,
ml17_280a_0021,140,,,,,,,,
ml17_280a_0022,78,,,,,,,,
ml17_280a_0023,118,,,,,,,,
ml17_280a_0024,33,,,,,,,,
ml17_280a_0025,98,,,,,,,,
ml17_280a_0026,59,,,,,,,,
ml17_280a_0027,57,,,,,,,,
ml17_280a_0028,113,,,,,,,,
ml17_280a_0029,139,,,,,,,,
ml17_280a_0030,26,,,,,,,,
ml17_280a_0031,127,,,,,,,,
ml17_280a_0032,65,,,,,,,,
ml17_280a_0033,111,,,,,,,,
ml17_280a_0034,127,1.0,1.0,1.0,0.14285714285714285,0.9682539682539683,0.2,0.33333333333333337,0.14285714285714285
ml17_280a_0035,207,,,,,,,,
ml17_280a_0036,83,0.9024390243902439,0.1111111111111111,0.19999999999999998,0.2,0.7804878048780488,0.05263157894736842,0.1,0.0
ml17_280a_0037,41,0.775,0.1,0.18181818181818182,0.0,0.9,0.2,0.33333333333333337,0.3333333333333333
ml17_280a_0038,95,,,,,,,,
